step,simulation_time,joint_1_rad,joint_2_rad,joint_3_rad,joint_4_rad,joint_5_rad,joint_6_rad,joint_7_rad,eef_x,eef_y,eef_z,reward,done
0,0.05000000000000003,-0.010236811674428647,0.18181883362913528,-0.03510815639924141,-2.6299552299212965,-0.058631584087478206,2.9360080233194052,0.823829973604584,-0.10730531784090162,-0.017747149236198904,1.0130554132263405,0.012309666650277525,False
1,0.10000000000000007,-0.009856781588025582,0.1713126294020081,-0.07164327698227718,-2.6329550331277756,-0.13994759538154128,2.953781606903248,0.877812367709729,-0.10423077400488988,-0.03295297030182304,1.0188945763743467,0.010616247428835922,False
2,0.1500000000000001,-0.0007174175152907338,0.16352078334331058,-0.08227556704113964,-2.658822355476092,-0.15464092484477074,2.9724516968784207,0.9393127903146702,-0.11184266264228075,-0.03168166796532875,1.0168091335490883,0.010695502185465085,False
3,0.20000000000000015,-0.00022411306125349082,0.15658100003848674,-0.1335829102365751,-2.66455215452422,-0.261589465306955,2.956722200734602,1.0271776188250548,-0.11917170973695626,-0.0492774699291401,1.0158568399962202,0.00960602092626687,False
4,0.25000000000000017,0.008851868961286497,0.1420095876470639,-0.18430618765304263,-2.651644180253944,-0.4077702746917841,2.930179340553764,1.1213656808094654,-0.11806538823313542,-0.06594992381914697,1.0227387788162883,0.007883050480392149,False
5,0.3000000000000002,0.031323344518224695,0.11852690590494318,-0.1723096339061836,-2.66574615711409,-0.4704965981313912,2.92515918487409,1.1878100618423582,-0.11946533221165999,-0.04825396597389068,1.0276812597320553,0.007899681016982412,False
6,0.35000000000000026,0.04687178783045695,0.08939294015858193,-0.13651407996899997,-2.7011986190918513,-0.4461406639700106,2.942778397941601,1.209976323926806,-0.12622216338144696,-0.022200909212460672,1.030786819913722,0.00777571864229233,False
7,0.4000000000000003,0.04459714522406105,0.07102132265064971,-0.14096010986417637,-2.70263850253772,-0.47068510777889727,2.947525652521385,1.2308347690759562,-0.12352871846789393,-0.021877263348529682,1.0384082308198663,0.006953814868234678,False
8,0.45000000000000034,0.0422579316745911,0.08391407910070835,-0.14559466411097655,-2.7099860512383787,-0.5047279577566662,2.9607789643635214,1.2530878064877442,-0.12749309554063332,-0.02340251518006522,1.0326168450885527,0.007429754373371801,False
9,0.5000000000000003,0.03386629470311845,0.09539407869332094,-0.16378466118110754,-2.7088391122085613,-0.5771981318127957,2.9676178911904167,1.2821392156768265,-0.13119440326863502,-0.0298674648886074,1.0273223086371324,0.0077467703623357795,False
10,0.5500000000000004,0.023105120257164723,0.08592604555729183,-0.22718622234118113,-2.6550400638916742,-0.7332455023439604,2.9309587556172074,1.3512356805735524,-0.11493715576000713,-0.06465960331974524,1.0432434678358302,0.005723363847322341,False
11,0.6000000000000004,0.018823760184974645,0.050462829029113115,-0.2784206358698816,-2.61027489532325,-0.9037635984744631,2.8741291830509708,1.4578417644944108,-0.1022021915478767,-0.0976824079356711,1.068092351650166,0.003216678984867401,False
12,0.6500000000000005,0.020635360183939053,0.0031097933715501964,-0.29869033264489103,-2.6052367676154797,-1.0566018529927894,2.832834615738455,1.5978206635957017,-0.1015340468049363,-0.11091465859675503,1.0869663937106595,0.00209198208985395,False
13,0.7000000000000005,0.022571920032046826,-0.04586064166765819,-0.30370265184946477,-2.648844659300313,-1.1780972042676812,2.7932342971350255,1.7313242287388642,-0.11945602061334386,-0.11182718924338009,1.0891731898695107,0.0018058210857690622,False
14,0.7500000000000006,0.023611120239194913,-0.08033267582095546,-0.29896922111093377,-2.7121720642786262,-1.255127413250262,2.7537539653592957,1.8558795111020447,-0.1475407045287051,-0.10754638142522394,1.0780640390053924,0.0018468551491704528,False
15,0.8000000000000006,0.021184113711515178,-0.10379870085222373,-0.2961419434286291,-2.761469599578187,-1.2972670273952425,2.729117203278176,1.973934671037981,-0.16990445865435844,-0.10462192359952252,1.0684689153043763,0.0018165741032600577,False
16,0.8500000000000006,0.02237068304184009,-0.104341135664413,-0.28255292062645737,-2.7878946077875515,-1.3079742067977307,2.7252943778130136,2.0602374456658583,-0.1820327951440609,-0.09672215860711972,1.0596493796195043,0.001958906080825705,False
17,0.9000000000000007,0.02402316625809245,-0.1034896849535582,-0.2565040135908434,-2.7764997230701254,-1.3537275772024346,2.710782040351716,2.1476710465473547,-0.17613891648416408,-0.09061532524876244,1.0623702672954585,0.0020751313939265533,False
18,0.9500000000000007,0.02524170784141231,-0.08959490937423426,-0.22068362510199824,-2.749563399857023,-1.4657641161987098,2.6720381467373815,2.241733729460566,-0.16422596243931575,-0.08846498778989793,1.0671473946449135,0.00218570204350716,False
19,1.0000000000000007,0.02623969340434685,-0.0865820699350941,-0.18195330955251726,-2.754199565627458,-1.5815795851094976,2.618283084600302,2.342760382790014,-0.1640091558815699,-0.08494537688980405,1.0661458190143358,0.0022764112494535224,False
20,1.0500000000000007,0.022829829786013844,-0.11156662922395776,-0.15805581303343733,-2.7941020882838905,-1.6597880161028447,2.5553638385542037,2.452263703328433,-0.17718373212686722,-0.08768514996299409,1.0653224497438625,0.0019954373783728466,False
21,1.1000000000000008,0.015589509058193151,-0.11865384847246274,-0.1500774160022456,-2.8309856303869965,-1.7133061448384999,2.4970911730531977,2.542807363294732,-0.19365286047132474,-0.09720869669780285,1.0596982929065224,0.0017247724791299311,False
22,1.1500000000000008,0.014921568718842317,-0.135228200154164,-0.12331543501602855,-2.8732967028694674,-1.7420948369353328,2.453702823859096,2.5996647123936696,-0.20865891966774908,-0.09568250230296965,1.0553091334910913,0.0015719592510778924,False
23,1.2000000000000008,0.011109369988389272,-0.15852226722634816,-0.10491540537951224,-2.922732477036814,-1.7348187727439788,2.413977708555127,2.6207440695060957,-0.2289644347572451,-0.0961009281404222,1.0507523043021758,0.0013092332044738104,False
24,1.2500000000000009,0.010514455409552427,-0.17205767682663503,-0.07770160017023114,-2.9341305650441902,-1.7562557163674766,2.3840745258779874,2.645552433878,-0.22985922416645077,-0.0944663585339772,1.0545938920184983,0.0012385136705530542,False
25,1.300000000000001,0.016469738019780675,-0.19883185451211138,-0.038484745343421306,-2.954099366363074,-1.7877790092294297,2.3783144381879535,2.6944081024944415,-0.228158447759555,-0.0814999156993055,1.0593909418754834,0.001273110745573014,False
26,1.350000000000001,0.01610727633489402,-0.2171772473683783,-0.02459715123864085,-2.9881590470516004,-1.7783609734052503,2.3927602264802745,2.720345472216958,-0.24170677676190166,-0.07413428425125873,1.0540293683995419,0.0012008230342732437,False
27,1.400000000000001,0.017264318933764598,-0.22187336085612344,-0.018475295529755163,-2.9887310082183984,-1.7612473236111843,2.4303189445454416,2.7382162812005064,-0.2428674979892922,-0.06493898121608702,1.051610934611835,0.001277595894581355,False
28,1.450000000000001,0.01672580464550515,-0.23435250265868032,-0.019168665506918897,-2.9928722291982472,-1.720757245546803,2.4616647117867654,2.7617766462387547,-0.24492852787393557,-0.05871043877654854,1.0511630999017927,0.0012840813059728814,False
29,1.500000000000001,0.020787856572125233,-0.2667846073803304,-0.009876862948174721,-3.0112367558852053,-1.6593606276389081,2.4927870444704987,2.7686895079018767,-0.2507043768687069,-0.04920690495551924,1.052389857502292,0.0012088328474914158,False
30,1.5500000000000012,0.020958019266312734,-0.2953699538537284,-0.015239341855117772,-3.052705489169534,-1.5647705509454528,2.520767372387434,2.741481042848993,-0.27043929834904334,-0.04407010828487167,1.0454007978561752,0.0010227986955079573,False
31,1.6000000000000012,0.017418427388483582,-0.2930287163123624,-0.02409839214646865,-3.052754039397806,-1.4942498458231,2.5360778890036038,2.7104701222031458,-0.2754615785398416,-0.043572173602757294,1.042351027589636,0.000990592881090762,False
32,1.6500000000000012,0.009441033635823073,-0.27066516387250783,-0.03518406670828831,-3.026374931797895,-1.4444975498581316,2.5333787212703767,2.6918376717185803,-0.2686758726474727,-0.04858183914199997,1.0429792741823467,0.0010681909700557392,False
33,1.7000000000000013,0.004523861252457164,-0.27421754826478384,-0.02964040178213086,-3.010788526839027,-1.4307561136678086,2.5074826992587367,2.660798443987045,-0.2617429292903498,-0.054656179085349955,1.0489768501827352,0.0010655271135397745,False
34,1.7500000000000013,0.005056318025856751,-0.2817191210143117,-0.021490526239516625,-3.0284155804940927,-1.390851576408932,2.4922779598912674,2.6054486220974162,-0.2708802426496638,-0.05550724460074546,1.0464122150017352,0.0009646650568595976,False
35,1.8000000000000014,0.012475519565047957,-0.2927024658368889,0.000267633067680131,-3.0294698161987887,-1.3617847720423433,2.4968326495167035,2.562998127589996,-0.26991304789637055,-0.047627302015263724,1.048228956362846,0.0009813499279892489,False
36,1.8500000000000014,0.01459622529779382,-0.3179342802125696,0.012345667679187475,-3.029922214319141,-1.3601824571290329,2.506915243032653,2.5539348068216334,-0.26388296798960775,-0.04172097673508644,1.055383134864823,0.000988098019383611,False
37,1.9000000000000015,0.01386226473807428,-0.32929564720156634,0.008122726906833296,-3.058178021640029,-1.3546191630879736,2.53408417252455,2.539985442811878,-0.27446166580788417,-0.03753018148065443,1.0497710303913879,0.0009269355452572705,False
38,1.9500000000000015,0.013895500871824791,-0.3065193848550971,-9.501998060279792e-05,-3.0677185168852574,-1.3647660990478614,2.580565416858995,2.5079309148037416,-0.2820937336069992,-0.02956815731391301,1.039567623919516,0.0009644289718216588,False
39,2.0000000000000013,0.010208965678225598,-0.2943293555503871,-0.005100334637478711,-3.067461517492853,-1.3535267988274227,2.6147332907806544,2.4859791390275268,-0.2832331831188723,-0.02396454568661527,1.0353748676556325,0.0010114641077818317,False
40,2.049999999999996,0.008982250766474006,-0.32127572550716166,0.01516189230585244,-3.0623972127214985,-1.3560620502848615,2.6138293466755718,2.4702395598622524,-0.27507231719350916,-0.020281952685942316,1.044082908073965,0.001028330155260715,False
41,2.0999999999999903,0.0048679283657750375,-0.3706267716992862,0.026193693750957574,-3.076522117118849,-1.3323047146201334,2.593926683096833,2.458356985106851,-0.2741270285296844,-0.02315557819814576,1.0537395748989977,0.0009114719298539439,False
42,2.149999999999985,-0.0003557458309650185,-0.38967561567808495,0.02658439284264469,-3.0733475276078557,-1.2562215624680775,2.5619213002763384,2.416848729761707,-0.2728790187887328,-0.03062246749159394,1.059935882871099,0.0008399778718094867,False
43,2.1999999999999793,0.0020452776917865836,-0.40080870406593666,0.05436549971633991,-3.047719404766564,-1.1977780412771684,2.5282700257034594,2.3815726287629713,-0.26279996385017773,-0.030497661139452716,1.070498831244807,0.0008339304477309955,False
44,2.249999999999974,0.00631634797871488,-0.44075725961049095,0.102652677994887,-3.0272049691740137,-1.164656857687385,2.4856070412555042,2.3837673597898053,-0.24910586394923218,-0.026146185090419376,1.0901203317012047,0.000753885992037764,False
45,2.2999999999999683,0.0117100398805546,-0.4682268090333432,0.1338589102356114,-3.0177871479866125,-1.11688047313643,2.448816494761015,2.3872990421174456,-0.24509681384854057,-0.023765003358840367,1.1020186598126522,0.0006622875253905726,False
46,2.349999999999963,0.016860583370166545,-0.4610926200458665,0.13607879514327256,-3.015895263984926,-1.03827646288169,2.442253769337185,2.3579294304174208,-0.24908759634422467,-0.021080800279111543,1.0986176711035947,0.0006675722879789544,False
47,2.3999999999999573,0.01490812685968512,-0.4515055537633048,0.12354555078970617,-3.023238655130583,-0.9694748230486344,2.433337960373573,2.2940301250955466,-0.25852384040922144,-0.02444930810734893,1.0906980960049497,0.0006639485168674753,False
48,2.4499999999999518,0.008316628726680974,-0.46597155666544643,0.12084998222110142,-3.0368884371432974,-0.9215994619237358,2.3998117180636025,2.2137641290675245,-0.2693831978078241,-0.03258046324603847,1.0882932534214953,0.000586418445298362,False
49,2.4999999999999463,-0.002912018613951759,-0.463674476074049,0.1137909819674858,-3.026966303705615,-0.9157462854980388,2.3706837469794273,2.1401611879910485,-0.27050768925473706,-0.04157639084074179,1.0908327962654603,0.0005445195647127359,False
50,2.5499999999999408,-0.011056465000558336,-0.45931052109670295,0.11284982353823474,-2.997454296591791,-0.9138874872459175,2.3369926861172643,2.0966917640610028,-0.262360926193819,-0.048245157023525914,1.0996970047774794,0.0005211388270310004,False
51,2.5999999999999353,-0.022170156782541504,-0.4459657706260653,0.12402301922471924,-2.9504359137406135,-0.9459884997227974,2.3049214081177825,2.0928650828883657,-0.24562895809122343,-0.05356235799064611,1.114672064727232,0.0005003272297885194,False
52,2.6499999999999297,-0.027447253908534544,-0.4239600031392832,0.16175504805614396,-2.9124698392519237,-0.9943449188284249,2.2930216950167335,2.103175849354558,-0.22801308698669695,-0.04830959791270281,1.1251632686087556,0.0005254801427141902,False
53,2.6999999999999242,-0.034598800405818766,-0.38715339379601693,0.18361564935307184,-2.8964287991086497,-0.9935372627907477,2.309732489914461,2.123819623119916,-0.22249465368080568,-0.04013008576161789,1.1194752984916825,0.0006274302701206263,False
54,2.7499999999999187,-0.0475308231382248,-0.35489507672377096,0.1945280522361673,-2.891740577219293,-1.0293190598141286,2.3268155598527875,2.144296022133413,-0.2201430930548259,-0.03879872426250311,1.111316502273921,0.0007390651198040881,False
55,2.7999999999999132,-0.0572700498981477,-0.3392623635520591,0.21287022442450731,-2.886650601309636,-1.103966424173391,2.3375587636123845,2.181442776616896,-0.21388277928198537,-0.03694341369111229,1.1107042028819651,0.0008034450105147941,False
56,2.8499999999999077,-0.06409381398370396,-0.3199411126892984,0.22496552571906916,-2.886983968011322,-1.1420934803126523,2.3475910464148813,2.247293505879778,-0.21257179776443494,-0.034513544095340465,1.1055522782225269,0.000893002949973286,False
57,2.899999999999902,-0.06456737343584368,-0.304828531606101,0.23043695230650013,-2.9094569228201266,-1.1117547931452403,2.3665950318034192,2.2930042957704146,-0.2250220392392593,-0.030868030565541174,1.0909798390996113,0.000990419823526483,False
58,2.9499999999998967,-0.058287373051447,-0.30924628998841325,0.2426179383705287,-2.9327848658548836,-1.0925154200309632,2.379174909956842,2.300640374558619,-0.2355000858908529,-0.02503298279322401,1.083079828494321,0.0009994366223229848,False
59,2.999999999999891,-0.05786032775887658,-0.2985963249562142,0.2363932518595988,-2.9477371242890102,-1.052455844666146,2.395956131759863,2.3025909919192253,-0.2456931217284775,-0.02341714646043056,1.0732158004221788,0.0010225750308914508,False
60,3.0499999999998857,-0.05588194411843593,-0.2925942804553298,0.23437663913310255,-2.9283091605307985,-1.050705496511779,2.39782120834469,2.3059659000375494,-0.23810752841908378,-0.021141823305621282,1.076405562400765,0.0010792832627506163,False
61,3.09999999999988,-0.046523395048641024,-0.2790243039133243,0.2422462391285111,-2.9154241759141106,-1.0629498438786282,2.397857150852021,2.3014114902144733,-0.2324397530099463,-0.014804675186285109,1.077435989411162,0.0011524891241431806,False
62,3.1499999999998747,-0.03369926918051181,-0.26454850406482816,0.26237979583432985,-2.9029756206828505,-1.0938966044198941,2.3924156419579083,2.289186253436577,-0.22718369140726524,-0.005240055484173278,1.0773833357344187,0.00124420552671974,False
63,3.199999999999869,-0.024293492396357738,-0.2700018542551249,0.27423740208765185,-2.9171306702287025,-1.0896909902411294,2.3859285601966316,2.297976042820591,-0.23319327285510372,-0.0017698201347354087,1.0750510464278387,0.001199447040548455,False
64,3.2499999999998637,-0.01983900921783531,-0.2840648041128606,0.2750514701907014,-2.9398279089047543,-1.0571870775045182,2.377393300452736,2.3118302675693734,-0.24451665882389934,-0.004370038566684983,1.0715564146806036,0.0010909658821793597,False
65,3.299999999999858,-0.021896088478544275,-0.2840142180113084,0.26689690421868184,-2.9521430533553574,-1.0421860665439662,2.3621278508328913,2.324282946732586,-0.25308477505565175,-0.011448026507444947,1.0679111127393934,0.0010203129063105622,False
66,3.3499999999998527,-0.03450767468860176,-0.2543594390166195,0.24859501379616333,-2.9268301517728594,-1.1079349496460353,2.3379480907782475,2.357599966022556,-0.24457163081736796,-0.02263868220678822,1.0692990650909355,0.0011018117719111666,False
67,3.399999999999847,-0.05148272894067382,-0.18936288640796367,0.22415264850312788,-2.890673192887276,-1.203741519122867,2.3220354849190747,2.424593158893508,-0.2328375857796781,-0.035477967804933785,1.0638499004790187,0.0013536717127687027,False
68,3.4499999999998416,-0.059668534008453705,-0.13247797147688994,0.22336122002912334,-2.853370394560456,-1.3171063491003256,2.294554889154765,2.503027423694784,-0.21742212498049296,-0.041769469377966856,1.0610620624664804,0.0016844234009582137,False
69,3.499999999999836,-0.06347702924044178,-0.08835793209062513,0.23003350188388622,-2.832409560131339,-1.4502087493000106,2.248047212401379,2.5719424190722577,-0.20452209213647443,-0.04803713968528607,1.060684036315419,0.0019381077658106407,False
70,3.5499999999998306,-0.06658380688822806,-0.024036311131793234,0.22414606201699597,-2.808573173850301,-1.5406415292768452,2.2124015752083004,2.6484439206518995,-0.19679113271981744,-0.054896542242590246,1.0515352811699634,0.0023838025146404934,False
71,3.599999999999825,-0.06042771729435376,0.027671345910705126,0.2406327939683322,-2.7992487874410155,-1.622564186978212,2.174940707453806,2.725710337210367,-0.1922528785168977,-0.05128920143490953,1.0418693789977367,0.0029669502654705087,False
72,3.6499999999998196,-0.05074016873559505,0.07612161358921955,0.26036865392272796,-2.812504020466471,-1.682016253831087,2.1224217444050337,2.779410271668557,-0.19978010179227534,-0.04862241267943876,1.0293895353534743,0.00331000778295608,False
73,3.699999999999814,-0.044158680969042005,0.11433505432999962,0.26130455951260795,-2.825269060146395,-1.683258245119547,2.061954749493331,2.821807959841057,-0.21242292542123903,-0.05711543396664773,1.0204118895524925,0.0030878843057400296,False
74,3.7499999999998086,-0.032639253305849,0.13725655235163545,0.282295783891666,-2.826619278771319,-1.6331424737300773,2.016557029282155,2.87002065013978,-0.22202268595729402,-0.05630253855234671,1.0169334327935078,0.002856320443561137,False
75,3.799999999999803,-0.01949781839512984,0.16844024965564375,0.306606069943212,-2.8348949848691483,-1.5911350144836474,1.9797946916098115,2.902408761330066,-0.23604551882512537,-0.05170164883997665,1.0092683450891355,0.0026447569016846786,False
76,3.8499999999997976,-0.007076064133862556,0.20153081369056255,0.3217263509637396,-2.832205500984011,-1.5598403163628618,1.946969348259485,2.887953406511574,-0.24525176133409954,-0.048828344181208294,1.0028914688993578,0.002530984613151648,False
77,3.899999999999792,-0.0012087096169948787,0.24866498835736353,0.3113598880864295,-2.8056911684088597,-1.5059497205659411,1.9125051058916163,2.8677902191188855,-0.25101396090196315,-0.05389600476597958,0.9961504831220594,0.0024662047306434312,False
78,3.9499999999997866,0.0074547437612106394,0.28628422391144587,0.2975638856793373,-2.775452019097486,-1.4860605243981961,1.871088839490291,2.8374950556000624,-0.24817481732498695,-0.059595410016825806,0.9938773040731718,0.002581640262685604,False
79,3.999999999999781,0.017173284898767426,0.3063619453938923,0.297266214667992,-2.7561697990411944,-1.4279002748723084,1.8404802353627072,2.813610404215197,-0.2517729972802499,-0.06081466352470419,0.9939390231134909,0.00242717846172792,False
80,4.049999999999776,0.022605817668963402,0.32667997851359654,0.2982005280037403,-2.736179064013809,-1.3488935798911994,1.836607508013665,2.7878884195117766,-0.26020675239817465,-0.05811926567812695,0.9895259015552309,0.0022663720879370565,False
81,4.0999999999997705,0.027606059243187916,0.3431952531791235,0.29066120163607456,-2.7066594311660173,-1.3276270383919206,1.8497416908392033,2.766440149136758,-0.2543069835446289,-0.0534164330040693,0.9850824529272351,0.0026703510396441426,False
82,4.149999999999765,0.037516670773274606,0.3624280348489944,0.28598896831876275,-2.680079877407603,-1.3504656997844298,1.8527375173724159,2.7749018681271673,-0.2419254042444671,-0.04775770861497669,0.9817211183146851,0.0034527752757964845,False
83,4.1999999999997595,0.047975641128880406,0.374386233137398,0.2754057125958336,-2.681071910880938,-1.3359994644593916,1.8387176986740097,2.7774431717344927,-0.24707000294541726,-0.05073472504572363,0.9798518446448378,0.003213796075667741,False
84,4.249999999999754,0.061584450729255516,0.37617779606882396,0.2647935301744224,-2.6768509963276834,-1.3541542350172107,1.8108795618542883,2.7838497735877477,-0.2430395783408935,-0.05428285459943351,0.9844524645870377,0.0031983200311149515,False
85,4.2999999999997485,0.07437263743792387,0.3878650178308936,0.24231572316533573,-2.6691351581991865,-1.4099563053932604,1.7776677272539074,2.823223915434954,-0.23248959277162828,-0.06181542730358229,0.9884179411585511,0.003460190976851438,False
86,4.349999999999743,0.09198456373788279,0.4013874213071635,0.23951542235577677,-2.6777376969788644,-1.4687646885893317,1.7548607081163956,2.887175715754106,-0.2279158983667116,-0.06089290277083982,0.9881323350593212,0.003735043961282781,False
87,4.3999999999997375,0.10552892829775222,0.4104500525005723,0.24279445471366845,-2.700162064431506,-1.5145436728056214,1.7617245138343298,2.90342024676609,-0.2320438987127174,-0.05555242750133493,0.9822876998091643,0.0038646818785551414,False
88,4.449999999999732,0.11983439347646918,0.3977649407643526,0.23897587926506367,-2.7212970781634556,-1.5515478412474941,1.7714281506890242,2.8852908672752826,-0.23238694391056175,-0.052042198324428995,0.9825484895513354,0.003893698884254072,False
89,4.499999999999726,0.13157706960482046,0.3898888300234203,0.21608787057896275,-2.7270556181230288,-1.547700258990645,1.7762226331720723,2.8736636866882694,-0.23405784324771658,-0.05716409421147543,0.9847995919923739,0.003609915178050007,False
90,4.549999999999721,0.1375781695682581,0.3984451053957318,0.18857734047674587,-2.707706666085275,-1.5522173558316534,1.7944652298500112,2.860101746424927,-0.22801945658729614,-0.06112048511206823,0.982124386110707,0.004006249946149608,False
91,4.599999999999715,0.14702297694028868,0.38217816622505485,0.17625165148428057,-2.7176722518069876,-1.5302362358974106,1.8101573315962125,2.8234943559020214,-0.2320198200356317,-0.06276939265991954,0.9835590821183683,0.003676276682953055,False
92,4.64999999999971,0.16475610653514217,0.33916954706253677,0.18589111796769694,-2.7430594031283415,-1.5107064891675765,1.8007948403492435,2.793030874201247,-0.23556779531869118,-0.05802717249451926,0.9951386517336228,0.0030995074019744486,False
93,4.699999999999704,0.1753879040725896,0.3203296398907749,0.19044290268698189,-2.7539076747050406,-1.5303324217185004,1.7982377589716723,2.7655576664351633,-0.23228269110622035,-0.05309620409794365,1.0009744574797912,0.003091385791129318,False
94,4.749999999999699,0.17635136835593856,0.3152250841425943,0.19863224828338288,-2.767942104140175,-1.5181718237904513,1.8217285382908994,2.7287882640366057,-0.23949818209278534,-0.04924368083186714,0.9968209651871398,0.002972030304279283,False
95,4.799999999999693,0.17379692223290857,0.2966914637373315,0.20184060224752431,-2.7602987121321965,-1.4704303772300849,1.8437672280316062,2.6974910340681006,-0.24077562708965716,-0.045683868246276654,0.9985342428319862,0.002893259232556517,False
96,4.849999999999688,0.16814002409559936,0.29855616527000195,0.18323257734244547,-2.744630773318078,-1.466581636291795,1.853283064372558,2.666048935140185,-0.23524446496567264,-0.050182494876356426,0.9991698254559443,0.0030644978887149773,False
97,4.899999999999682,0.1622624039253045,0.31763984197154804,0.15929437626876017,-2.7253897646639005,-1.4887555639820573,1.8490795226991217,2.6457228487597253,-0.22812942923846194,-0.058919298360963324,0.9971801288762249,0.003358251515073086,False
98,4.949999999999677,0.1649886790602045,0.32773333189924103,0.16568524354351338,-2.7280608625166716,-1.5162109490270037,1.8475912934028418,2.6335761762203087,-0.22643969634569455,-0.056171296006570504,0.9942056656284837,0.0036208971261835936,False
